ven_lati,ven_long,ven_vlrven
'-3.758777','-38.545509','R$ 49.67'
'-3.733627','-38.538545','R$ 79.60'
'-3.735142','-38.56245','R$ 30.90'
'-3.751776','-38.528959','R$ 146.30'
'-3.731911','-38.576533','R$ 29.89'
'-3.7593379','-38.5699236','R$ 69.90'
'-3.7544725','-38.5317294','R$ 52.80'
'-3.735307','-38.553164','R$ 83.60'
'-3.738514','-38.542427','R$ 30.89'
'-3.744743','-38.55823','R$ 39.70'
'-3.736885','-38.557982','R$ 30.79'
'-3.726859','-38.555796','R$ 38.80'
'-3.727287','-38.554074','R$ 35.79'
'-3.72286','-38.542239','R$ 51.80'
'-3.731911','-38.576533','R$ 37.79'
'-3.757126','-38.562451','R$ 32.29'
'-3.746351','-38.558829','R$ 63.40'
'-3.7593379','-38.5699236','R$ 88.40'
'-3.723609','-38.566979','R$ 35.79'
'-3.725268','-38.563239','R$ 82.70'
'-3.756931','-38.563015','R$ 89.10'
'-3.724213','-38.567248','R$ 31.89'
'-3.746735','-38.540449','R$ 42.80'
'-3.734217','-38.537818','R$ 38.30'
'-3.725806','-38.533971','R$ 36.20'
'-3.723042','-38.56206','R$ 76.60'
'-3.744743','-38.55823','R$ 54.60'
'-3.7593379','-38.5699236','R$ 41.70'
'-3.746735','-38.540449','R$ 43.70'
'-3.758777','-38.545509','R$ 43.90'
'-3.751776','-38.528959','R$ 46.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.73928','-38.562287','R$ 52.70'
'-3.731911','-38.576533','R$ 36.80'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.739581','-38.56516','R$ 81.30'
'-3.721958','-38.546122','R$ 51.70'
'-3.735879','-38.558603','R$ 49.30'
'-3.742354','-38.536059','R$ 30.69'
'-3.751776','-38.528959','R$ 194.60'
'-3.732243','-38.553508','R$ 54.80'
'-3.738111','-38.527923','R$ 53.80'
'-3.7544725','-38.5317294','R$ 119.40'
'-3.741754','-38.5470036','R$ 25.90'
'-3.7248784','-38.5651794','R$ 29.80'
'-3.741162','-38.534123','R$ 96.60'
'-3.7358785','-38.558603','R$ 90.50'
'-3.748972','-38.562417','R$ 73.80'
'-3.751776','-38.528959','R$ 46.70'
'-3.7593379','-38.5699236','R$ 93.50'
'-3.742328','-38.567011','R$ 55.70'
'-3.724036','-38.549883','R$ 79.60'
'-3.746735','-38.540449','R$ 43.70'
'-3.72286','-38.542239','R$ 51.80'
'-3.735554','-38.563024','R$ 109.50'
'-3.731911','-38.576533','R$ 113.30'
'-3.736811','-38.57976','R$ 30.89'
'-3.744743','-38.55823','R$ 39.70'
'-3.731217','-38.570819','R$ 48.90'
'-3.7544725','-38.5317294','R$ 133.30'
'-3.7593379','-38.5699236','R$ 78.70'
'-3.742328','-38.567011','R$ 29.79'
'-3.735307','-38.553164','R$ 139.40'
'-3.751776','-38.528959','R$ 46.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.7333731','-38.5628406','R$ 75.70'
'-3.756559','-38.550007','R$ 64.80'
'-3.749126','-38.531213','R$ 51.70'
'-3.724213','-38.567248','R$ 27.89'
'-3.758777','-38.545509','R$ 44.60'
'-3.732243','-38.553508','R$ 80.50'
'-3.744743','-38.55823','R$ 30.89'
'-3.741186','-38.555902','R$ 35.40'
'-3.73928','-38.562287','R$ 40.70'
'-3.724213','-38.567248','R$ 61.80'
'-3.742845','-38.530627','R$ 42.70'
'-3.730348','-38.56373','R$ 41.90'
'-3.746351','-38.558829','R$ 63.40'
'-3.735879','-38.558603','R$ 87.10'
'-3.727287','-38.554074','R$ 35.79'
'-3.742354','-38.536059','R$ 41.80'
'-3.725825','-38.548942','R$ 119.60'
'-3.726859','-38.555796','R$ 38.80'
'-3.736811','-38.57976','R$ 30.89'
'-3.731145','-38.550659','R$ 56.40'
'-3.757126','-38.562451','R$ 53.70'
'-3.723705','-38.541582','R$ 43.30'
'-3.756559','-38.550007','R$ 44.80'
'-3.726859','-38.555796','R$ 38.80'
'-3.725806','-38.533971','R$ 36.20'
'-3.748972','-38.562417','R$ 60.20'
'-3.742328','-38.567011','R$ 29.79'
'-3.73928','-38.562287','R$ 131.70'
'-3.735307','-38.553164','R$ 90.60'
'-3.746735','-38.540449','R$ 46.80'
'-3.751776','-38.528959','R$ 91.50'
'-3.725806','-38.533971','R$ 32.29'
'-3.735142','-38.56245','R$ 40.90'
'-3.7248784','-38.5651794','R$ 37.90'
'-3.736811','-38.57976','R$ 30.89'
'-3.749126','-38.531213','R$ 100.40'
'-3.72286','-38.542239','R$ 51.80'
'-3.731145','-38.550659','R$ 57.90'
'-3.724036','-38.549883','R$ 41.80'
'-3.746351','-38.558829','R$ 63.40'
'-3.733627','-38.538545','R$ 61.70'
'-3.733386','-38.562832','R$ 53.80'
'-3.735142','-38.56245','R$ 101.21'
'-3.738109','-38.555819','R$ 30.89'
'-3.738111','-38.527923','R$ 27.89'
'-3.751776','-38.528959','R$ 46.70'
'-3.751776','-38.528959','R$ 46.70'
'-3.731858','-38.55631','R$ 89.60'
'-3.742132','-38.554805','R$ 40.90'
'-3.731911','-38.576533','R$ 36.80'
'-3.725806','-38.533971','R$ 36.20'
'-3.757126','-38.562451','R$ 51.10'
'-3.757126','-38.562451','R$ 45.70'
'-3.744743','-38.55823','R$ 35.29'
'-3.746351','-38.558829','R$ 113.80'
'-3.727287','-38.554074','R$ 62.70'
'-3.73928','-38.562287','R$ 69.70'
'-3.751776','-38.528959','R$ 98.70'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.738514','-38.542427','R$ 29.90'
'-3.733386','-38.562832','R$ 56.80'
'-3.736187','-38.545863','R$ 29.89'
'-3.726859','-38.555796','R$ 38.80'
'-3.731858','-38.55631','R$ 53.80'
'-3.735879','-38.558603','R$ 29.40'
'-3.738109','-38.555819','R$ 30.89'
'-3.739581','-38.56516','R$ 55.80'
'-3.742132','-38.554805','R$ 27.89'
'-3.751776','-38.528959','R$ 46.70'
'-3.733627','-38.538545','R$ 49.80'
'-3.72286','-38.542239','R$ 51.80'
'-3.767178','-38.535888','R$ 36.20'
'-3.758777','-38.545509','R$ 43.90'
'-3.736811','-38.57976','R$ 30.89'
'-3.735307','-38.553164','R$ 69.70'
'-3.731858','-38.55631','R$ 59.70'
'-3.724213','-38.567248','R$ 61.80'
'-3.749126','-38.531213','R$ 51.70'
'-3.723042','-38.56206','R$ 76.60'
'-3.73574','-38.55847','R$ 43.60'
'-3.73928','-38.562287','R$ 57.80'
'-3.735142','-38.56245','R$ 70.81'
'-3.735879','-38.558603','R$ 50.90'
'-3.735879','-38.558603','R$ 28.89'
'-3.726274','-38.534102','R$ 125.60'
'-3.731217','-38.570819','R$ 78.80'
'-3.724036','-38.549883','R$ 41.80'
'-3.751776','-38.528959','R$ 96.40'
'-3.746351','-38.558829','R$ 63.40'
'-3.741186','-38.555902','R$ 47.80'
'-3.742354','-38.536059','R$ 42.80'
'-3.752724','-38.551467','R$ 83.50'
'-3.723609','-38.566979','R$ 98.50'
'-3.7544725','-38.5317294','R$ 119.40'
'-3.736811','-38.57976','R$ 30.89'
'-3.731911','-38.576533','R$ 39.20'
'-3.741684','-38.546949','R$ 43.90'
'-3.731217','-38.570819','R$ 47.90'
'-3.736885','-38.557982','R$ 30.79'
'-3.736811','-38.57976','R$ 59.80'
'-3.758777','-38.545509','R$ 49.67'
'-3.735554','-38.563024','R$ 109.50'
'-3.748972','-38.562417','R$ 65.20'
'-3.744743','-38.55823','R$ 39.70'
'-3.741684','-38.546949','R$ 27.89'
'-3.742328','-38.567011','R$ 27.89'
'-3.738514','-38.542427','R$ 28.89'
'-3.738109','-38.555819','R$ 30.89'
'-3.746351','-38.558829','R$ 108.80'
'-3.751776','-38.528959','R$ 46.70'
'-3.725825','-38.548942','R$ 119.60'
'-3.727287','-38.554074','R$ 35.79'
'-3.7358785','-38.558603','R$ 46.20'
'-3.741162','-38.534123','R$ 107.50'
'-3.727807','-38.553324','R$ 40.80'
'-3.724213','-38.567248','R$ 31.89'
'-3.743927','-38.541977','R$ 85.70'
'-3.748972','-38.562417','R$ 55.30'
'-3.731911','-38.576533','R$ 37.79'
'-3.726859','-38.555796','R$ 38.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.726859','-38.555796','R$ 38.80'
'-3.7495669','-38.5512651','R$ 44.90'
'-3.736187','-38.545863','R$ 39.80'
'-3.725319','-38.553133','R$ 34.59'
'-3.757126','-38.562451','R$ 53.70'
'-3.723875','-38.567249','R$ 30.89'
'-3.738111','-38.527923','R$ 53.80'
'-3.751776','-38.528959','R$ 46.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.723042','-38.56206','R$ 61.70'
'-3.73574','-38.55847','R$ 43.60'
'-3.726274','-38.534102','R$ 56.80'
'-3.73928','-38.562287','R$ 115.80'
'-3.725268','-38.563239','R$ 142.40'
'-3.733998','-38.531406','R$ 57.30'
'-3.736885','-38.557982','R$ 30.79'
'-3.746735','-38.540449','R$ 46.80'
'-3.7544725','-38.5317294','R$ 119.40'
'-3.7358785','-38.558603','R$ 98.50'
'-3.738111','-38.527923','R$ 53.80'
'-3.742354','-38.536059','R$ 60.70'
'-3.736952','-38.558','R$ 30.79'
'-3.731145','-38.550659','R$ 57.90'
'-3.751776','-38.528959','R$ 122.10'
'-3.751776','-38.528959','R$ 107.20'
'-3.742328','-38.567011','R$ 55.70'
'-3.731911','-38.576533','R$ 37.79'
'-3.736952','-38.558','R$ 30.79'
'-3.738109','-38.555819','R$ 30.89'
'-3.733627','-38.538545','R$ 49.80'
'-3.736187','-38.545863','R$ 39.80'
'-3.742328','-38.567011','R$ 55.70'
'-3.748972','-38.562417','R$ 47.30'
'-3.758777','-38.545509','R$ 47.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.723875','-38.567249','R$ 59.80'
'-3.746735','-38.540449','R$ 52.80'
'-3.731217','-38.570819','R$ 50.90'
'-3.735142','-38.56245','R$ 30.90'
'-3.731911','-38.576533','R$ 37.79'
'-3.725806','-38.533971','R$ 36.20'
'-3.724036','-38.549883','R$ 41.80'
'-3.72286','-38.542239','R$ 54.80'
'-3.742328','-38.567011','R$ 29.79'
'-3.736811','-38.57976','R$ 30.89'
'-3.735307','-38.553164','R$ 74.70'
'-3.756931','-38.563015','R$ 123.20'
'-3.746351','-38.558829','R$ 83.80'
'-3.739554','-38.556839','R$ 57.90'
'-3.751776','-38.528959','R$ 46.70'
'-3.735879','-38.558603','R$ 28.89'
'-3.727287','-38.554074','R$ 35.79'
'-3.738378','-38.542684','R$ 21.49'
'-3.72286','-38.542239','R$ 54.80'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.767178','-38.535888','R$ 36.20'
'-3.738378','-38.542684','R$ 28.89'
'-3.734925','-38.561976','R$ 44.60'
'-3.738109','-38.555819','R$ 30.89'
'-3.7303481','-38.5637304','R$ 74.70'
'-3.727287','-38.554074','R$ 35.79'
'-3.72286','-38.542239','R$ 54.30'
'-3.741186','-38.555902','R$ 44.60'
'-3.721958','-38.546122','R$ 51.70'
'-3.7287644','-38.5538856','R$ 49.80'
'-3.746735','-38.540449','R$ 41.80'
'-3.746351','-38.558829','R$ 46.90'
'-3.724036','-38.549883','R$ 57.80'
'-3.736811','-38.57976','R$ 30.89'
'-3.731911','-38.576533','R$ 66.60'
'-3.751776','-38.528959','R$ 182.10'
'-3.758777','-38.545509','R$ 43.90'
'-3.738109','-38.555819','R$ 40.80'
'-3.742132','-38.554805','R$ 27.89'
'-3.725319','-38.553133','R$ 30.89'
'-3.726859','-38.555796','R$ 38.80'
'-3.7544725','-38.5317294','R$ 119.40'
'-3.7349328','-38.5621358','R$ 66.80'
'-3.723875','-38.567249','R$ 30.89'
'-3.724036','-38.549883','R$ 57.80'
'-3.741162','-38.534123','R$ 57.30'
'-3.735879','-38.558603','R$ 28.89'
'-3.748972','-38.562417','R$ 59.40'
'-3.731911','-38.576533','R$ 28.79'
'-3.736885','-38.557982','R$ 30.79'
'-3.731858','-38.55631','R$ 89.60'
'-3.734848','-38.553266','R$ 27.89'
'-3.735142','-38.56245','R$ 70.81'
'-3.731911','-38.576533','R$ 57.60'
'-3.758777','-38.545509','R$ 53.67'
'-3.746351','-38.558829','R$ 109.57'
'-3.744743','-38.55823','R$ 65.57'
'-3.742328','-38.567011','R$ 29.79'
'-3.725319','-38.553133','R$ 30.89'
'-3.736187','-38.545863','R$ 39.80'
'-3.731858','-38.55631','R$ 60.70'
'-3.751776','-38.528959','R$ 46.70'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.727287','-38.554074','R$ 35.79'
'-3.7495669','-38.5512651','R$ 40.40'
'-3.758777','-38.545509','R$ 47.90'
'-3.733386','-38.562832','R$ 58.80'
'-3.73928','-38.562287','R$ 52.70'
'-3.731858','-38.55631','R$ 35.79'
'-3.746735','-38.540449','R$ 37.80'
'-3.744743','-38.55823','R$ 39.70'
'-3.742328','-38.567011','R$ 75.50'
'-3.725319','-38.553133','R$ 41.60'
'-3.73574','-38.55847','R$ 43.60'
'-3.725268','-38.563239','R$ 27.89'
'-3.725268','-38.563239','R$ 76.70'
'-3.739581','-38.56516','R$ 60.50'
'-3.734217','-38.537818','R$ 38.30'
'-3.756931','-38.563015','R$ 139.90'
'-3.72286','-38.542239','R$ 54.30'
'-3.74925','-38.547696','R$ 48.80'
'-3.736811','-38.57976','R$ 27.89'
'-3.733386','-38.562832','R$ 81.70'
'-3.725268','-38.563239','R$ 123.40'
'-3.726274','-38.534102','R$ 83.70'
'-3.734217','-38.537818','R$ 38.30'
'-3.736952','-38.558','R$ 30.79'
'-3.733998','-38.531406','R$ 57.30'
'-3.748972','-38.562417','R$ 76.70'
'-3.735142','-38.56245','R$ 98.71'
'-3.742354','-38.536059','R$ 73.60'
'-3.758777','-38.545509','R$ 53.67'
'-3.723042','-38.56206','R$ 27.89'
'-3.736811','-38.57976','R$ 59.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.7544725','-38.5317294','R$ 86.60'
'-3.735879','-38.558603','R$ 56.70'
'-3.733411','-38.55941','R$ 59.80'
'-3.736952','-38.558','R$ 30.79'
'-3.752341','-38.584574','R$ 30.89'
'-3.751776','-38.528959','R$ 137.30'
'-3.724036','-38.549883','R$ 57.80'
'-3.723705','-38.541582','R$ 85.10'
'-3.7358785','-38.558603','R$ 98.50'
'-3.733386','-38.562832','R$ 27.89'
'-3.742132','-38.554805','R$ 27.89'
'-3.731858','-38.55631','R$ 44.80'
'-3.758777','-38.545509','R$ 53.67'
'-3.735554','-38.563024','R$ 98.60'
'-3.727807','-38.553324','R$ 46.70'
'-3.757126','-38.562451','R$ 66.70'
'-3.744743','-38.55823','R$ 39.70'
'-3.731217','-38.570819','R$ 51.67'
'-3.725268','-38.563239','R$ 76.70'
'-3.736952','-38.558','R$ 30.79'
'-3.767178','-38.535888','R$ 72.40'
'-3.757126','-38.562451','R$ 32.29'
'-3.724213','-38.567248','R$ 31.89'
'-3.734217','-38.537818','R$ 30.79'
'-3.748972','-38.562417','R$ 69.50'
'-3.738109','-38.555819','R$ 30.89'
'-3.7495669','-38.5512651','R$ 37.90'
'-3.727287','-38.554074','R$ 35.79'
'-3.72286','-38.542239','R$ 54.30'
'-3.736811','-38.57976','R$ 29.79'
'-3.742328','-38.567011','R$ 29.79'
'-3.72855','-38.5621099','R$ 23.90'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.727287','-38.554074','R$ 35.79'
'-3.72286','-38.542239','R$ 54.30'
'-3.731911','-38.576533','R$ 59.60'
'-3.73574','-38.55847','R$ 43.60'
'-3.757126','-38.562451','R$ 88.50'
'-3.756559','-38.550007','R$ 27.89'
'-3.73928','-38.562287','R$ 67.67'
'-3.723705','-38.541582','R$ 47.30'
'-3.7593379','-38.5699236','R$ 89.40'
'-3.746351','-38.558829','R$ 53.90'
'-3.735879','-38.558603','R$ 61.80'
'-3.726274','-38.534102','R$ 117.50'
'-3.736885','-38.557982','R$ 30.79'
'-3.7349328','-38.5621358','R$ 27.90'
'-3.725268','-38.563239','R$ 125.40'
'-3.731911','-38.576533','R$ 79.60'
'-3.742354','-38.536059','R$ 37.80'
'-3.767178','-38.535888','R$ 36.20'
'-3.7287644','-38.5538856','R$ 49.80'
'-3.731858','-38.55631','R$ 53.80'
'-3.731217','-38.570819','R$ 45.90'
'-3.7544725','-38.5317294','R$ 142.40'
'-3.7593379','-38.5699236','R$ 65.70'
'-3.724036','-38.549883','R$ 77.70'
'-3.751776','-38.528959','R$ 46.70'
'-3.742845','-38.530627','R$ 32.79'
'-3.741684','-38.546949','R$ 33.79'
'-3.723042','-38.56206','R$ 105.50'
'-3.7358785','-38.558603','R$ 98.50'
'-3.74925','-38.547696','R$ 40.90'
'-3.735307','-38.553164','R$ 74.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.739554','-38.556839','R$ 46.90'
'-3.731217','-38.570819','R$ 51.67'
'-3.735142','-38.56245','R$ 70.81'
'-3.72286','-38.542239','R$ 54.30'
'-3.758777','-38.545509','R$ 53.67'
'-3.752724','-38.551467','R$ 71.30'
'-3.73574','-38.55847','R$ 43.60'
'-3.744743','-38.55823','R$ 39.70'
'-3.725268','-38.563239','R$ 127.60'
'-3.731145','-38.550659','R$ 115.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.727287','-38.554074','R$ 35.79'
'-3.726859','-38.555796','R$ 38.80'
'-3.758777','-38.545509','R$ 47.80'
'-3.734217','-38.537818','R$ 32.29'
'-3.724213','-38.567248','R$ 31.89'
'-3.738109','-38.555819','R$ 30.89'
'-3.726859','-38.555796','R$ 30.89'
'-3.725806','-38.533971','R$ 32.29'
'-3.723042','-38.56206','R$ 76.60'
'-3.735879','-38.558603','R$ 64.50'
'-3.760534','-38.56701','R$ 37.80'
'-3.735307','-38.553164','R$ 47.80'
'-3.723875','-38.567249','R$ 30.89'
'-3.730362','-38.563572','R$ 69.70'
'-3.746735','-38.540449','R$ 27.89'
'-3.731911','-38.576533','R$ 37.80'
'-3.73574','-38.55847','R$ 43.60'
'-3.735307','-38.553164','R$ 71.70'
'-3.724213','-38.567248','R$ 53.80'
'-3.72855','-38.5621099','R$ 27.90'
'-3.738109','-38.555819','R$ 30.89'
'-3.742328','-38.567011','R$ 30.89'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.7291','-38.54758','R$ 38.80'
'-3.731217','-38.570819','R$ 48.90'
'-3.726859','-38.555796','R$ 38.80'
'-3.731145','-38.550659','R$ 115.80'
'-3.736952','-38.558','R$ 30.79'
'-3.746351','-38.558829','R$ 105.40'
'-3.734217','-38.537818','R$ 38.30'
'-3.735879','-38.558603','R$ 91.70'
'-3.746735','-38.540449','R$ 27.89'
'-3.735142','-38.56245','R$ 44.90'
'-3.723609','-38.566979','R$ 82.70'
'-3.748972','-38.562417','R$ 81.20'
'-3.73574','-38.55847','R$ 43.60'
'-3.731858','-38.55631','R$ 29.79'
'-3.7544725','-38.5317294','R$ 116.50'
'-3.723875','-38.567249','R$ 30.89'
'-3.723875','-38.567249','R$ 30.89'
'-3.72855','-38.5621099','R$ 27.90'
'-3.724036','-38.549883','R$ 35.79'
'-3.72286','-38.542239','R$ 56.30'
'-3.731911','-38.576533','R$ 37.80'
'-3.731217','-38.570819','R$ 77.80'
'-3.756931','-38.563015','R$ 89.60'
'-3.730348','-38.56373','R$ 41.90'
'-3.756559','-38.550007','R$ 49.80'
'-3.725825','-38.548942','R$ 46.80'
'-3.746735','-38.540449','R$ 44.80'
'-3.738109','-38.555819','R$ 40.80'
'-3.751776','-38.528959','R$ 46.70'
'-3.742132','-38.554805','R$ 41.80'
'-3.758777','-38.545509','R$ 47.80'
'-3.757126','-38.562451','R$ 43.80'
'-3.744743','-38.55823','R$ 37.81'
'-3.733386','-38.562832','R$ 84.70'
'-3.735307','-38.553164','R$ 47.80'
'-3.735307','-38.553164','R$ 71.70'
'-3.7358785','-38.558603','R$ 26.80'
'-3.741684','-38.546949','R$ 27.89'
'-3.734217','-38.537818','R$ 30.39'
'-3.724213','-38.567248','R$ 31.89'
'-3.7303481','-38.5637304','R$ 96.50'
'-3.725806','-38.533971','R$ 32.29'
'-3.734848','-38.553266','R$ 53.80'
'-3.733342','-38.546771','R$ 33.79'
'-3.733627','-38.538545','R$ 33.79'
'-3.756931','-38.563015','R$ 97.10'
'-3.723042','-38.56206','R$ 76.60'
'-3.725435','-38.553087','R$ 30.79'
'-3.72286','-38.542239','R$ 56.30'
'-3.735554','-38.563024','R$ 118.40'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.726859','-38.555796','R$ 38.80'
'-3.757126','-38.562451','R$ 53.60'
'-3.731858','-38.55631','R$ 59.70'
'-3.741186','-38.555902','R$ 30.69'
'-3.724213','-38.567248','R$ 33.79'
'-3.735307','-38.553164','R$ 82.60'
'-3.742328','-38.567011','R$ 30.89'
'-3.736811','-38.57976','R$ 30.89'
'-3.73574','-38.55847','R$ 35.80'
'-3.738378','-38.542684','R$ 34.89'
'-3.757126','-38.562451','R$ 48.70'
'-3.757126','-38.562451','R$ 40.80'
'-3.733627','-38.538545','R$ 45.70'
'-3.748972','-38.562417','R$ 44.30'
'-3.726274','-38.534102','R$ 56.80'
'-3.728466','-38.549139','R$ 73.70'
'-3.746735','-38.540449','R$ 27.89'
'-3.758777','-38.545509','R$ 47.90'
'-3.751776','-38.528959','R$ 188.10'
'-3.735879','-38.558603','R$ 72.70'
'-3.742132','-38.554805','R$ 27.89'
'-3.7544725','-38.5317294','R$ 119.50'
'-3.735307','-38.553164','R$ 89.60'
'-3.733411','-38.55941','R$ 79.70'
'-3.724036','-38.549883','R$ 57.80'
'-3.731911','-38.576533','R$ 38.79'
'-3.7303','-38.560955','R$ 55.60'
'-3.723042','-38.56206','R$ 184.10'
'-3.738111','-38.527923','R$ 55.60'
'-3.758777','-38.545509','R$ 43.90'
'-3.7248784','-38.5651794','R$ 37.90'
'-3.74925','-38.547696','R$ 40.90'
'-3.736811','-38.57976','R$ 30.89'
'-3.742328','-38.567011','R$ 35.89'
'-3.731911','-38.576533','R$ 38.79'
'-3.724036','-38.549883','R$ 37.80'
'-3.723609','-38.566979','R$ 51.80'
'-3.751776','-38.528959','R$ 91.50'
'-3.734217','-38.537818','R$ 30.39'
'-3.736811','-38.57976','R$ 56.80'
'-3.731217','-38.570819','R$ 52.90'
'-3.727287','-38.554074','R$ 35.79'
'-3.742354','-38.536059','R$ 54.80'
'-3.7358785','-38.558603','R$ 26.80'
'-3.734848','-38.553266','R$ 28.89'
'-3.725435','-38.553087','R$ 35.79'
'-3.73574','-38.55847','R$ 84.40'
'-3.725435','-38.553087','R$ 34.59'
'-3.735879','-38.558603','R$ 42.20'
'-3.7593379','-38.5699236','R$ 101.00'
'-3.733342','-38.546771','R$ 40.80'
'-3.751776','-38.528959','R$ 46.70'
'-3.74925','-38.547696','R$ 40.90'
'-3.736811','-38.57976','R$ 32.29'
'-3.742328','-38.567011','R$ 59.80'
'-3.731911','-38.576533','R$ 59.70'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.73574','-38.55847','R$ 43.60'
'-3.72286','-38.542239','R$ 56.30'
'-3.735307','-38.553164','R$ 101.20'
'-3.726274','-38.534102','R$ 56.80'
'-3.725268','-38.563239','R$ 94.70'
'-3.726859','-38.555796','R$ 38.80'
'-3.742132','-38.554805','R$ 40.90'
'-3.724036','-38.549883','R$ 57.80'
'-3.746735','-38.540449','R$ 46.80'
'-3.72855','-38.5621099','R$ 27.90'
'-3.758777','-38.545509','R$ 53.67'
'-3.7544725','-38.5317294','R$ 99.60'
'-3.731911','-38.576533','R$ 38.79'
'-3.741684','-38.546949','R$ 36.80'
'-3.728131','-38.561952','R$ 49.70'
'-3.724036','-38.549883','R$ 35.79'
'-3.731858','-38.55631','R$ 35.69'
'-3.753575','-38.546542','R$ 68.50'
'-3.731911','-38.576533','R$ 30.89'
'-3.748972','-38.562417','R$ 82.20'
'-3.742354','-38.536059','R$ 61.80'
'-3.733342','-38.546771','R$ 33.79'
'-3.725268','-38.563239','R$ 94.70'
'-3.736952','-38.558','R$ 30.79'
'-3.757122','-38.562458','R$ 42.90'
'-3.727807','-38.553324','R$ 37.80'
'-3.751776','-38.528959','R$ 171.90'
'-3.742328','-38.567011','R$ 33.59'
'-3.757126','-38.562451','R$ 41.30'
'-3.73574','-38.55847','R$ 43.90'
'-3.735307','-38.553164','R$ 105.30'
'-3.73928','-38.562287','R$ 59.90'
'-3.725268','-38.563239','R$ 53.80'
'-3.7372071','-38.5646864','R$ 38.90'
'-3.726859','-38.555796','R$ 35.80'
'-3.725268','-38.563239','R$ 52.60'
'-3.736811','-38.57976','R$ 30.89'
'-3.73574','-38.55847','R$ 43.90'
'-3.757126','-38.562451','R$ 57.70'
'-3.7333422','-38.5467708','R$ 25.90'
'-3.736952','-38.558','R$ 30.79'
'-3.735879','-38.558603','R$ 61.60'
'-3.724213','-38.567248','R$ 27.89'
'-3.72286','-38.542239','R$ 56.30'
'-3.725435','-38.553087','R$ 27.89'
'-3.763239','-38.572602','R$ 56.20'
'-3.725806','-38.533971','R$ 29.79'
'-3.723042','-38.56206','R$ 62.70'
'-3.748972','-38.562417','R$ 67.20'
'-3.733386','-38.562832','R$ 54.80'
'-3.757126','-38.562451','R$ 71.50'
'-3.726274','-38.534102','R$ 139.40'
'-3.725268','-38.563239','R$ 83.50'
'-3.752341','-38.584574','R$ 30.89'
'-3.737547','-38.565726','R$ 51.70'
'-3.736885','-38.557982','R$ 30.79'
'-3.733627','-38.538545','R$ 49.80'
'-3.746351','-38.558829','R$ 90.50'
'-3.736187','-38.545863','R$ 39.80'
'-3.737223','-38.564705','R$ 75.95'
'-3.742354','-38.536059','R$ 97.10'
'-3.7544725','-38.5317294','R$ 135.30'
'-3.735307','-38.553164','R$ 71.70'
'-3.731217','-38.570819','R$ 78.80'
'-3.731858','-38.55631','R$ 29.79'
'-3.724036','-38.549883','R$ 66.60'
'-3.736811','-38.57976','R$ 59.80'
'-3.7358785','-38.558603','R$ 98.50'
'-3.73574','-38.55847','R$ 46.90'
'-3.723875','-38.567249','R$ 59.80'
'-3.730563','-38.547759','R$ 59.80'
'-3.72855','-38.5621099','R$ 27.90'
'-3.731911','-38.576533','R$ 51.80'
'-3.751776','-38.528959','R$ 102.50'
'-3.730348','-38.56373','R$ 41.90'
'-3.724036','-38.549883','R$ 57.80'
'-3.742132','-38.554805','R$ 55.80'
'-3.742328','-38.567011','R$ 27.89'
'-3.73574','-38.55847','R$ 43.90'
'-3.728193','-38.561957','R$ 53.80'
'-3.739554','-38.556839','R$ 43.90'
'-3.742328','-38.567011','R$ 30.79'
'-3.725806','-38.533971','R$ 32.29'
'-3.725435','-38.553087','R$ 27.89'
'-3.73574','-38.55847','R$ 43.90'
'-3.735307','-38.553164','R$ 96.60'
'-3.7593379','-38.5699236','R$ 107.00'
'-3.736952','-38.558','R$ 30.79'
'-3.734217','-38.537818','R$ 40.20'
'-3.743927','-38.541977','R$ 61.80'
'-3.735554','-38.563024','R$ 71.70'
'-3.7495669','-38.5512651','R$ 59.30'
'-3.723042','-38.56206','R$ 77.60'
'-3.757126','-38.562451','R$ 61.50'
'-3.736952','-38.558','R$ 30.79'
'-3.751776','-38.528959','R$ 46.70'
'-3.725268','-38.563239','R$ 80.70'
'-3.736811','-38.57976','R$ 30.89'
'-3.733342','-38.546771','R$ 37.80'
'-3.723875','-38.567249','R$ 35.80'
'-3.724213','-38.567248','R$ 31.89'
'-3.736187','-38.545863','R$ 29.89'
'-3.748972','-38.562417','R$ 60.20'
'-3.7593379','-38.5699236','R$ 89.40'
'-3.723609','-38.566979','R$ 105.60'
'-3.752341','-38.584574','R$ 43.70'
'-3.736952','-38.558','R$ 30.79'
